Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/06/2013 00:00,159045,75229,259568,155449,130251,127208
01/07/2013 00:00,160830,82886,263105,156863,131271,129298
01/08/2013 00:00,162110,89695,265084,158597,132387,129720
01/09/2013 00:00,162217,79217,266548,157774,132215,130476
01/10/2013 00:00,161554,88422,266234,157625,130895,130062
01/11/2013 00:00,162450,95708,265811,158825,132013,131007
01/12/2013 00:00,163942,90540,265553,160032,133562,133737
01/01/2014 00:00,164137,75540,267931,159301,133295,134786
01/02/2014 00:00,164818,74421,268709,160297,133898,135109
01/03/2014 00:00,165385,78289,267862,160938,134595,136188
01/04/2014 00:00,169065,82048,273703,164094,137945,139232
01/05/2014 00:00,170856,90739,275294,165678,139475,141562
01/06/2014 00:00,172331,93994,277219,167346,140558,142976
01/07/2014 00:00,174755,97288,281993,169194,142776,144660
01/08/2014 00:00,176803,101680,285402,171265,144329,146370
01/09/2014 00:00,176993,90912,285901,171004,144384,147042
01/10/2014 00:00,176731,100184,286134,171108,143670,146770
01/11/2014 00:00,176137,86142,285465,170810,143051,145995
01/12/2014 00:00,176561,88917,285637,170826,143537,146881
01/01/2015 00:00,175636,66819,284767,170140,142617,145249
01/02/2015 00:00,175785,67070,285237,170045,142852,145326
01/03/2015 00:00,176439,77669,288243,170768,142553,145834
01/04/2015 00:00,177994,75240,287903,172442,145051,146808
01/05/2015 00:00,179917,86144,289749,174617,146378,149215
01/06/2015 00:00,181289,96979,292231,176069,148223,148917
01/07/2015 00:00,184365,106216,297356,178752,150286,152377
01/08/2015 00:00,186053,96533,300930,180271,151657,153373
01/09/2015 00:00,186435,94554,303202,179973,151509,154125
01/10/2015 00:00,186689,104451,302480,180942,152067,153677
01/11/2015 00:00,188125,93854,304885,182204,152950,155401
01/12/2015 00:00,188767,94397,306477,182676,153491,155726
01/01/2016 00:00,189268,70959,305706,183727,153558,157021
01/02/2016 00:00,189352,75907,306870,182712,153921,157238
01/03/2016 00:00,191298,138124,311772,183356,154879,160155
01/04/2016 00:00,192013,63854,308453,186373,157025,158469
01/05/2016 00:00,194250,72174,309488,187902,158886,162653
01/06/2016 00:00,196106,88475,316390,189523,160045,162429
01/07/2016 00:00,198169,93197,317974,191763,162042,164483
01/08/2016 00:00,198186,94407,319156,191823,161779,164138
